r1,r2,r3,ap,at,sl,pnl,trades
0.55,0.3,0.65,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.6,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.55,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.5,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.45,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.4,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.35,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.3,2,0.5,2.4,-2.3999999999994532,1
0.55,0.3,0.25,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.35,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.4,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.45,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.5,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.55,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.5,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.45,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.4,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.35,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.3,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.25,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.2,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.15,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.1,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.05,2,0.5,2.4,-2.3999999999994532,1
0.55,0.4,0.0,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.95,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.9,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.85,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.8,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.75,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.7,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.65,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.6,2,0.5,2.4,-2.3999999999994532,1
0.55,0.35,0.55,2,0.5,2.4,-2.3999999999994532,1
0.55,0.25,0.0,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.9,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.6,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.9,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.4,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.35,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.3,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.25,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.2,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.15,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.1,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.05,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.0,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.95,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.85,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.5,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.8,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.75,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.7,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.65,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.6,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.55,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.5,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.45,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.4,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.35,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.45,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.55,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.85,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.2,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.7,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.65,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.6,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.55,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.5,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.45,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.4,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.35,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.3,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.25,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.15,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.6,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.1,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.05,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.0,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.95,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.9,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.85,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.8,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.75,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.7,2,0.5,2.4,-2.3999999999994532,1
0.5,0.9,0.65,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.3,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.25,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.2,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.35,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.85,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.8,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.75,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.7,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.65,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.6,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.55,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.5,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.45,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.4,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.3,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.15,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.25,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.2,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.15,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.1,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.05,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.0,2,0.5,2.4,-2.3999999999994532,1
0.5,0.7,0.95,2,0.5,2.4,-2.3999999999994532,1
0.5,0.7,0.9,2,0.5,2.4,-2.3999999999994532,1
0.5,0.7,0.85,2,0.5,2.4,-2.3999999999994532,1
0.5,0.7,0.8,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.9,2,0.5,2.4,-2.3999999999994532,1
0.5,0.75,0.95,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.0,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.05,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.1,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.05,2,0.5,2.4,-2.3999999999994532,1
0.5,0.85,0.0,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.95,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.9,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.85,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.8,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.75,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.7,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.65,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.6,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.55,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.5,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.45,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.4,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.35,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.3,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.25,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.2,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.15,2,0.5,2.4,-2.3999999999994532,1
0.5,0.8,0.1,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.75,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.8,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.15,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.8,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.75,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.7,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.65,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.6,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.55,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.5,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.45,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.4,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.35,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.3,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.25,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.2,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.15,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.1,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.05,2,0.5,2.4,-2.3999999999994532,1
0.55,0.2,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.75,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.8,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.55,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.95,0.9,2,0.5,2.4,-2.3999999999994532,1
0.5,0.95,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.85,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.9,0.65,2,0.5,2.4,-2.3999999999994532,1
0.55,0.55,0.15,2,0.5,2.4,-2.3999999999994532,1
0.55,0.55,0.2,2,0.5,2.4,-2.3999999999994532,1
0.55,0.55,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.65,2,0.5,2.4,-2.3999999999994532,1
0.55,0.55,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.3,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.35,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.5,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.15,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.75,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.85,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.9,2,0.5,2.4,-2.3999999999994532,1
0.95,0.4,0.95,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.0,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.45,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.35,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.8,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.3,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.25,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.2,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.15,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.1,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.05,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.0,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.95,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.9,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.85,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.75,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.15,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.7,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.65,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.6,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.55,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.5,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.45,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.4,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.35,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.3,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.25,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.35,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.4,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.45,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.5,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.55,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.5,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.45,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.4,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.35,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.3,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.25,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.2,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.15,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.1,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.05,2,0.5,2.4,-2.3999999999994532,1
0.6,0.35,0.0,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.95,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.9,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.85,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.8,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.75,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.7,2,0.5,2.4,-2.3999999999994532,1
0.65,0.7,0.85,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.6,2,0.5,2.4,-2.3999999999994532,1
0.6,0.3,0.55,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.2,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.1,2,0.5,2.4,-2.3999999999994532,1
0.95,0.25,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.7,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.2,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.25,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.3,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.35,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.4,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.45,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.5,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.55,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.6,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.65,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.75,2,0.5,2.4,-2.3999999999994532,1
0.6,0.25,0.05,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.8,2,0.5,2.4,-2.3999999999994532,1
0.95,0.2,0.85,2,0.5,2.4,-2.3999999999994532,1
